batch,loss,ACC
690,0.0009985226206481457,0.8786127167630058
173,<<epoch || averaged loss>>,0.017089712899178267
1,0.2445952594280243,0.8786127167630058
690,0.004531004000455141,0.8815028901734104
174,<<epoch || averaged loss>>,0.24912626342847943
1,0.0005522104329429567,0.8872832369942196
690,8.15357780084014e-05,0.8988439306358381
175,<<epoch || averaged loss>>,0.0006337462109513581
1,0.010518773458898067,0.8959537572254336
690,0.0017670030938461423,0.8786127167630058
176,<<epoch || averaged loss>>,0.01228577655274421
1,3.2186403586820234e-06,0.869942196531792
690,2.940385093097575e-05,0.8526011560693642
177,<<epoch || averaged loss>>,3.2622491289657773e-05
1,0.004917885176837444,0.8583815028901735
690,0.00029559130780398846,0.8815028901734104
178,<<epoch || averaged loss>>,0.005213476484641433
1,0.010514296591281891,0.8872832369942196
690,0.0012303375406190753,0.8641618497109826
179,<<epoch || averaged loss>>,0.011744634131900966
1,0.042112696915864944,0.8786127167630058
690,0.021705038845539093,0.8930635838150289
180,<<epoch || averaged loss>>,0.06381773576140404
1,8.886575233191252e-05,0.8959537572254336
690,0.8205477595329285,0.884393063583815
181,<<epoch || averaged loss>>,0.8206366252852604
1,2.691931740628206e-06,0.8930635838150289
690,0.0020474568009376526,0.869942196531792
182,<<epoch || averaged loss>>,0.002050148732678281
1,0.0017447740538045764,0.8872832369942196
690,9.331517503596842e-05,0.8757225433526011
183,<<epoch || averaged loss>>,0.0018380892288405448
1,0.0006700019002892077,0.8872832369942196
690,0.00011965016165049747,0.861271676300578
184,<<epoch || averaged loss>>,0.0007896520619397052
1,3.03653741866583e-05,0.8641618497109826
690,0.0008742175996303558,0.869942196531792
185,<<epoch || averaged loss>>,0.0009045829738170141
1,0.004789585247635841,0.8641618497109826
690,1.9609544324339367e-05,0.8872832369942196
186,<<epoch || averaged loss>>,0.004809194791960181
1,0.13271161913871765,0.8786127167630058
690,0.018886901438236237,0.8757225433526011
187,<<epoch || averaged loss>>,0.1515985205769539
1,0.04788489639759064,0.8872832369942196
690,0.0014897951623424888,0.8901734104046243
188,<<epoch || averaged loss>>,0.049374691559933126
1,0.0025640621315687895,0.8872832369942196
690,0.000569806550629437,0.8786127167630058
189,<<epoch || averaged loss>>,0.0031338686821982265
1,0.0014029382728040218,0.8901734104046243
690,0.0015104853082448244,0.8901734104046243
190,<<epoch || averaged loss>>,0.0029134235810488462
1,6.497598224086687e-05,0.8930635838150289
690,0.0017544006695970893,0.884393063583815
191,<<epoch || averaged loss>>,0.0018193766518379562
1,3.063618714804761e-05,0.8583815028901735
690,1.8179089238401502e-05,0.8641618497109826
192,<<epoch || averaged loss>>,4.8815276386449113e-05
1,0.810430109500885,0.8641618497109826
690,0.0005598209681920707,0.8930635838150289
193,<<epoch || averaged loss>>,0.8109899304690771
1,0.08899665623903275,0.8959537572254336
690,0.00035393916186876595,0.8930635838150289
194,<<epoch || averaged loss>>,0.08935059540090151
1,3.161079075653106e-05,0.8872832369942196
690,0.0989857167005539,0.8930635838150289
195,<<epoch || averaged loss>>,0.09901732749131043
1,0.5156985521316528,0.9017341040462428
690,0.008052394725382328,0.9046242774566474
196,<<epoch || averaged loss>>,0.5237509468570352
1,0.012040598317980766,0.9017341040462428
690,0.029682734981179237,0.8901734104046243
197,<<epoch || averaged loss>>,0.041723333299160004
1,0.0008601463050581515,0.8872832369942196
690,3.456997364992276e-05,0.8901734104046243
198,<<epoch || averaged loss>>,0.0008947162787080742
1,0.006234999746084213,0.8959537572254336
690,0.0051436638459563255,0.8641618497109826
199,<<epoch || averaged loss>>,0.011378663592040539
